icd,Latin
D80,HIGM4
H35,LCA13
M32,lupus
Q81,EBSDM
Q81,EBSOG
Q81,EBSMD
Q81,MDEBS
G11,SCA34
G31,FENIB
E88,FPLD3
Q87,FGLDS
E75,ML IV
A80,Polia
A80,polio
E76,MPSIX
G71,DMDA2
H35,LCA10
H35,LCA12
Q77,SRTD1
Q77,SRTD2
E22,SIADH
C85,PMLCL
C83,PMLCL
E10,IDDM9
G12,SMAFK
Q87,MOPD2
Q87,MCLMR
Q87,MLCRD
Q81,GABEB
C49,MRCLS
Q23,AOVD1
G71,EDMD2
G60,PBD3B
H35,LCA14
G60,CMT4H
G60,CMT4F
G60,HMSNR
G60,CMT4G
G60,CMT4E
H35,LCA11
H35,LCA17
Q12,ARCC2
Q12,CTPP1
Q12,CTPP3
Q12,CTPP4
Q12,CTPP2
G71,DMDA1
G71,LGMD3
Q87,BRWS1
G11,SPG21
L99,PLCA1
L99,FPLCA
E85,PLCA1
E85,FPLCA
Q04,PCH2D
Q04,PCH10
G11,SPAX1
G11,ARSAL
G11,SPAX3
G11,SPAX4
G11,SPAX2
G11,SPG58
G11,SPAX5
G11,SPAX7
G11,SCA18
G11,SCA19
G11,SCA25
G11,SCA26
G11,SCA20
G11,SCA21
Q80,ARCI1
E72,CCDS2
D80,SIgMD
G23,PARK9
E24,PPNAD
E71,SCADD
G11,SCA36
G11,SCA37
G11,SCA38
G11,SCA40
G11,SCA10
G11,SCA11
G11,SCA15
G11,SCA12
G11,SCA14
G11,SCA27
G11,SCA17
G11,SCA23
G11,SCA28
G24,DYT18
F01,Casil
Q80,ARCI5
Q80,ARCI8
Q80,ARCI9
Q80,ARCI6
Q80,ARCI7
I42,CMD1C
I42,CMDC1
I42,CMD1D
D69,STRMK
H35,PPCRA
H35,PPRCA
H26,HRFTC
Q77,SEMDG
I47,CPVT1
I47,CVPT1
I47,CPVT2
I47,CVPT2
I47,CPVT5
I47,CVPT5
I47,CPVT3
I47,CVPT3
I47,CPVT4
I47,CVPT4
H90,AUNA1
H90,NSDAN
G25,HKPX1
G25,HKPX2
G11,ATCAY
G25,HKPX3
D47,LPFS2
Q80,ARCI2
Q80,NCIE1
D47,LPFS1
Q80,ARCI3
Q80,ICR2B
Q77,OSMED
Q60,PAPRS
I42,CMD1M
I42,CMD1S
I42,CMD1O
I42,CMD1T
I42,CMD1Y
I42,CMD1U
I42,CMD1R
I42,CMD3B
I42,CMD2A
G60,CMT1A
G60,CMT1B
H90,DFNB2
C64,ChRCC
K76,CBAS3
K76,BASD3
K76,BASD2
K76,CBAS2
K76,CBAS1
K76,BASD1
Q87,SCKL7
G11,SCA30
G11,SCA29
G11,SCA35
P70,Tndm1
E71,VLCAD
Q87,vicis
G11,SPOAN
H53,PERRS
I68,HCHWA
E85,HCHWA
H90,DFNB9
H90,NRSD9
H90,DFNA8
H90,DFNA1
H90,LFHL1
H90,DFNB7
H90,DFNB8
H90,NRSD8
H90,DFNA6
H90,DFNA9
H90,DFNA7
Q34,CILD1
Q34,CILD3
E74,PDHAD
H90,DFNB3
H90,NRSD3
C64,MCRCC
Q79,EVMPS
G11,SCAR2
A82,Lyssa
Q87,MEHMO
Q87,CSTLO
Q34,CILD5
Q34,CILD8
Q34,CILD9
Q34,CILD2
I42,CMD1V
I42,CMD1I
I42,CMD1H
I42,CMD1G
I42,CMD1L
I42,CDCD2
I42,CMD1E
I42,CMD1Z
I42,CMD1P
I42,CMD1K
I42,CMD1B
I42,CMD1X
I42,CMD2B
I42,CMD1Q
I42,CMD1W
G11,SPG10
G11,SPG11
G11,SPG12
G11,SPG13
G11,SPG14
G11,SPG15
G11,SPG16
G11,SPG17
G11,IDMDC
G11,SPG18
G11,SPG19
G11,Sppx2
G11,SPG24
E83,HOMG3
E83,HOMG5
E83,HOMG4
E83,HOMG6
E83,HOMG2
H90,DFNB4
H90,DFNB5
H90,DFNB6
M85,SOST1
M85,SOST2
Q20,DTGA1
Q20,DTGA3
P78,DIAR8
P78,DIAR7
P78,DIAR4
Q80,Pvop2
C81,NSCHL
G12,DSMA2
G12,dHMNJ
E83,HOMG1
E72,CCDS1
Q11,MCOP6
Q11,MCOP7
Q11,MCOP2
Q11,MCOP4
Q15,MCOP5
Q11,MCOP3
Q11,MCOP1
Q11,MCOP8
G71,MDRS1
G71,RSMD1
P78,DIAR3
P78,DIAR6
E75,PMLD1
G11,HLD11
Q87,MRXST
Q87,MRXS7
Q87,MRXSJ
G11,SPG25
G11,SPG26
G11,SPG27
G11,SPG28
G11,SPG29
G11,SPG30
G11,SPG31
G11,SPG32
G11,SPG34
G11,SPG35
G11,SPG36
G11,SPG37
G11,SPG38
G11,SPG39
G11,SPG3A
G24,DYT23
Q04,CDFES
G24,DYT24
G24,DYT25
Q87,BWCNS
E72,CCDS3
E72,PSATD
E72,PSPHD
E78,FHCB1
E78,FHCB2
Q71,SHFM4
Q71,SHFM5
G60,SCAN1
E72,Ocrl1
Q34,CILD6
Q34,CILD7
Q34,CILD4
C64,CCRCC
G60,CMT1C
Q87,RENS1
E72,DCBXA
A98,Ebola
E74,Glys1
D72,ALPS4
I45,LQT11
I45,LQT12
I45,LQT13
I45,LQT14
I45,LQT15
E75,CLN4B
E75,CLN10
G20,PARK4
G71,MDCMC
G71,CMD1B
G71,MDC1B
G71,CMD1A
G71,MDC1A
G71,MDC1D
I45,LQT10
Q87,MRXS4
Q87,MRXS9
Q87,MRXSC
F72,MRX94
F72,MRXSW
Q87,MRXSN
H90,DFNA5
G24,DYT27
L50,FCAS3
G24,DYT21
E20,HYPOC
E85,FCAS2
G24,DYT13
E77,CDG2A
E74,GSD15
Q78,Aoiii
G11,SPG41
G11,SPG42
G11,SPG43
G11,SPG44
G11,SPG45
G11,SPG65
G11,SPG46
G11,SPG48
G11,SPG49
G11,SPG53
G11,SPG54
G11,SPG55
G11,SPG56
G11,SPG57
G11,SPG5A
Q04,JBTS4
Q61,JBTS4
G60,SCAR1
G60,SCAN2
Q87,MRXSA
Q70,SYM1A
Q27,Vmcm1
Q79,EDSP1
D81,IMD17
C88,IPSID
Q77,Rcdp2
Q77,Rcdp3
H18,Ched1
H18,Ppcd1
H18,Ppcd2
H18,Ppcd3
Q78,OPTA2
Q78,OPTB6
Q78,OPTB7
H35,USH1H
H35,USH1J
H35,USH1K
H35,USH2A
H35,USH2C
H35,USH2D
H35,USH3A
H35,USH3B
G11,FXTAS
E75,CLN13
E75,CLN4A
E75,CLN11
G23,INAD1
G23,NBIA4
G23,NBIA5
G23,senda
G11,SPG61
G11,SPG62
G11,SPG63
G11,SPG64
G11,SPG72
G11,SPG73
G11,SPG75
G11,SPG77
G11,SPG9A
G11,SPG9B
H35,USH1C
H35,USH1D
H35,USH1F
H35,USH1E
H35,USH1G
H35,EOSRD
H35,STGD1
G24,DYT17
G24,DYT16
G24,DYT12
H35,MCRPE
H35,MDPT3
E76,MPSII
Q84,MNLIX
D68,THPH1
E72,MOCOD
M35,Rupus
C11,Npca2
E07,TDH2B
G23,Copan
G23,NBIA6
E10,IDDM2
E10,IDDM3
E10,IDDM4
E10,IDDM5
E10,IDDM6
E10,IDDM7
E10,IDDM8
G71,MDC1C
Q93,PHMDS
D81,Scidx
D81,XSCID
Q87,ACPS2
G11,DRPLA
G12,SMAX1
G23,NBIA1
E88,MERRF
G71,MERRF
Q77,Semdc
E72,GCDHD
E74,PNTSU
Q87,SMRXS
Q87,MRXSR
C83,DLBCL
I15,LIDLS
G11,SCA13
G90,HSAN3
E88,Melas
G71,Melas
Q75,POADS
E11,NIDDM
Q26,TAPVR
E71,MGCA3
E72,SSADH
Q24,ARVC1
Q24,ARVD1
I42,ARVC1
I42,ARVD1
Q21,THMD1
G11,SPAX6
G24,Lubag
E74,FBP1D
Q77,Rcdp1
B26,mumps
J05,croup
D21,myoma
E76,VI MPS
C49,AT / rt
E71,X-BY
G37,X-BY
B19,C orat
E31,I mea
E31,homines I
D44,I mea
D44,homines I
G12,III sma
B85,ure foco cancros
Q79,ut ED
Q79,III ED
E85,Cingam
E74,V GSD
I48,A-MENDACIOLUM
Q93,SPECULUM
C91,V-HCL
H54,caecus
A67,Plnla
H35,R. XXIV
E71,V MGA
E71,V MGA
G12,hMN VI
K50,Carcinoma
Q81,"GLORIA Domine,"
E76,IX MPS
H35,R. XIX
H35,R. XXXII
H35,R. XII
H35,R. XVIII
H35,R. XXXV
H35,R. XXVIII
H35,R. XXXIII
H35,R. XXVI
Q98,Y / X0
Q96,Y / X0
H35,R. XVII
H35,R. XXXVI
H35,R. XIII
H35,XI R.
H35,R. XXIII
H35,R. XXXIV
G71,Dominus CMD
H35,R. XLI
H35,R. XXIX
H35,R. XXV
H35,R. XIV
H35,R. XXXI
E75,D-XIR
D82,II IMD
C91,B-C.LL.
H35,R. XXII
G11,III CPD
K64,setius sublicae
Q81,H JEB
G40,GEFs +
E75,"ABC C,"
G12,II sma
L50,tunica Caledonia
G12,IV ALS
E75,II DG
E75,"IX, CLN"
E74,II GSD
Q87,AT Omnia V1
E74,VII GSD
D81,arbitrium
E76,II MPS
E76,VII MPS
B35,Nunc gaudeant
E74,VI GSD
E77,Roma II
G72,"III IBM,"
E76,ego MPS
F71,Ppm X-
Q87,NPS I
C91,V-HCL
Q77,SADDAN
Q80,ARCI4B
E75,ALXDRD
N91,Amenia
K52,gastro
E71,ACADMD
G71,IBMPFD
L30,ECZEMA
B02,zoster
G71,LGMD2I
G71,MDDGC5
Q84,NDNC10
G11,SCAR17
G11,SCAR13
G11,SCAR11
Q87,SCAR20
G11,SCAR19
G20,PARK15
E74,GSD9A1
D69,BDPLT9
H18,CHEDII
D69,BDPLT3
Q61,NPHP16
G11,CAMRQ1
I42,ARVD12
I42,ARVC12
I42,ARVC13
I42,ARVD13
I42,ARVC10
I42,ARVD10
I42,ARVC11
I42,ARVD11
Q87,SRTD10
Q77,SRTD10
Q77,SRTD13
Q04,SRTD14
Q77,SRTD11
E26,BARTS5
G60,CMT2B1
G60,CMT2A1
G60,CMT2A2
G71,MTDPS2
G71,MTDPS5
Q87,MCAHS1
Q87,MCAHS2
Q87,MCAHS3
Q87,MRXSSR
D47,ALPS2B
Q77,ACMICD
G60,CMT2B2
G60,HMSN2C
I49,BRGDA9
G71,LGMD2Y
K00,ADHCAI
E26,BARTS1
E26,BARTS2
E26,BARTS3
Q12,CTRCT8
Q12,CTRCT1
Q82,ARCL2D
Q82,ARCL3A
Q82,ARCL1B
Q82,ARCL2B
Q82,ARCL2A
Q82,ARCL1A
Q82,ARCL2C
Q82,ARCL3B
G60,HSAN1B
G60,HSAN1E
G60,HMSN2B
G60,CMT 2E
Q12,CTRCT5
Q12,CATCN1
Q12,CTRCT7
Q12,CATCN2
Q12,CTRCT9
Q12,CTRCT3
Q12,CATCN3
E71,MEGDEL
G12,SMARD1
G12,SIANRF
Q12,CTRCT2
Q12,CTRCT4
Q77,SRPS2B
Q77,SRPS2A
D47,ALPS2A
G60,CMT 1F
G60,HMSN1D
E88,MC5DN3
E88,MC5DN4
G71,MC5DN2
G60,CMTRID
G60,CMTRIB
G60,CMTRIA
G60,CMTDIA
G60,CMTDIF
G60,CMTDIE
G71,LGMD2N
G71,MDDGC2
G71,SCARMD
G71,LGMD2D
G71,LGMD2E
G71,LGMD2F
G71,LGMD2Q
G71,LGMD2H
G71,LGMD2J
G71,LGMD2R
G71,MDDGC7
G71,LGMD2U
G71,LGMD2T
G71,LGMD1D
G60,HMSN4D
G60,CMT4B2
G60,CMT4B1
G60,CMT 4B
G60,CMTDI1
G60,CMTDIB
G60,CMT4B3
G60,CMTDIC
G60,CMTDID
G60,CMTRIC
I49,BRGDA1
I49,BRGDA2
I49,BRGDA5
I49,BRGDA3
I49,BRGDA4
I49,BRGDA8
Q12,CTRCT6
I49,BRGDA6
I49,BRGDA7
G71,LGMD2C
G71,LGMD2B
Q87,BBRSAY
B36,piedra
M89,PHOAR1
D69,BDPLT4
Q81,JEB-PA
Q87,SBBYSS
D69,BDPLT7
E71,ACADSD
G11,Asidan
G11,SCAR10
G11,CANPMR
G71,LGMD2K
G71,MDDGC1
Q87,PRLMNS
Q80,ARCI10
Q80,ARCI11
I42,CMD1CC
A90,dengue
G11,SCAR16
G11,SCAR18
G11,SCAR15
G11,SCAR14
G11,SPARCA
E71,CMAMMA
D69,BDPLT8
Q80,ARCI4A
I42,CMD1DD
I42,CMD1II
I42,CMD1HH
I42,CMD1EE
I42,CMD1BB
I42,CMD1FF
G60,HMSN1A
G60,HMSN1B
H90,DFNB14
H90,DFNB15
H90,DFNB72
H90,DFNB95
H90,DFNB12
H90,DFNB13
H90,DFNB16
H90,DFNB17
H90,DFNB20
H90,DFNB1A
H90,DFNB1B
H90,DFNB21
H90,DFNB22
D35,PRLoma
E22,PRLoma
E71,VLCADD
Q87,BLCPMG
H90,DFNB86
H90,DFNB91
H90,DFNB88
H90,DFNB89
H90,DFNB97
H90,DFNB98
H90,DFNB93
H90,DFNB96
H90,DFNA11
H90,DFNA12
H90,DFNA10
H90,DFNA13
H90,DFNA15
H90,DFNB68
H90,DFNB11
H90,DFNB66
H90,DFNB67
H90,DFNB74
H90,DFNB76
H90,DFNB70
H90,DFNB71
H90,DFNB10
H90,DFNB83
H90,DFNB77
H90,DFNB79
H90,DFNB85
H90,DFNA58
H90,DFNA14
H90,DFNA38
H90,DFNA64
H90,DFNA59
H90,DFNA67
H90,DFNA68
H90,DFNA65
H90,DFNA66
H90,DFNA70
H90,DFNA69
Q87,CILD31
Q34,CILD21
Q34,CILD22
Q34,CILD14
D69,BDPLT5
H90,DFNB23
H90,DFNB24
H90,DFNB27
H90,DFNB25
H90,DFNB26
H90,DFNB29
H90,DFNB28
H90,DFNB32
H90,DFNB33
H90,DFNB30
H90,DFNB31
H90,DFNB37
H90,DFNB38
H90,DFNB35
H90,DFNB36
H90,DFNB39
G11,SCAR12
A30,lepras
Q87,MRXS20
Q87,MRXS25
H90,DFNA16
H90,DFNA20
H90,DFNA26
H90,DFNA21
H90,DFNA17
H90,DFNA18
H90,DFNA24
H90,DFNA25
H90,DFNA22
H90,DFNA23
H90,DFNA2A
H90,DFNA2B
H90,DFNA27
H90,DFNA28
H90,DFNA33
H90,DFNA36
H90,DFNA30
H90,DFNA31
H90,DFNA3A
H90,DFNA3B
Q34,CILD13
Q34,CILD17
Q34,CILD33
Q34,CILD30
Q34,CILD20
Q34,CILD15
Q34,CILD24
Q34,CILD26
I42,CMD1AA
I42,CMD1NN
I42,CMD1GG
I42,CMD1JJ
I42,CMD1KK
G11,dHMN5B
G20,PARK19
H90,DFNB40
H90,DFNB42
H90,DFNB46
H90,DFNB47
H90,DFNB44
H90,DFNB45
H90,DFNB51
H90,DFNB48
H90,DFNB49
H90,DFNB59
H90,DFNB53
H90,DFNB55
H90,DFNB63
H90,DFNB65
H90,DFNB61
H90,DFNB62
G40,GEFSP1
Q04,MICPCH
Q87,MRXSMP
Q87,SHFM1D
Q87,MRXS12
G25,MRXS10
Q87,MRXSCJ
G11,NTEMND
Q76,STHAG6
E72,PHGDHD
Q04,CDCBM7
Q04,CDCBM1
G25,chorea
G71,LGMD2A
Q34,CILD29
Q34,CILD32
Q34,CILD12
Q34,CILD11
Q34,CILD28
Q34,CILD18
Q34,CILD19
Q34,CILD23
Q34,CILD16
Q34,CILD27
Q34,CILD10
Q34,CILD25
G60,HMSN1C
G71,LGMD2P
G71,MDDGC9
G71,LGMD2S
Q87,WARBM1
Q87,WARBM2
Q87,WARBM3
Q87,WARBM4
E88,A-1ATD
G20,PARK23
G24,PARK14
G71,MDDGB6
Q87,MRXSSD
Q87,MRXSAB
Q87,MRXS28
Q87,MRXS15
F72,MRXS29
Q87,MRXS11
H90,DFNA40
H90,DFNA41
H90,DFNA47
H90,DFNA48
H90,DFNA43
H90,DFNA44
H90,DFNA4A
H90,DFNA4B
H90,DFNA49
H90,DFNA51
H90,DFNA52
H90,DFNA50
H90,DFNA56
H90,DFNA53
H90,DFNA54
E85,NAPS12
E71,BCKDKD
E72,D2HGA1
B45,torula
E88,MC5DN1
C88,mu-HCD
G23,NBIA2a
G23,NBIA2b
H35,Secord
E74,GSDVII
G71,LGMD1B
G71,LGMD1E
G71,LGMD1C
G71,LGMD1F
G71,LGMD1G
E76,MPSVII
E10,IDDM10
E10,IDDM11
E10,IDDM12
E10,IDDM13
E10,IDDM15
E10,IDDM17
E10,IDDM18
E10,IDDM19
E10,IDDM20
E10,IDDM21
E10,IDDM22
E10,IDDM23
E10,IDDM24
G71,LGMD1H
G71,LGMD2L
G71,LGMD2G
G71,LGMD2M
G71,MDDGC4
G71,LGMD2O
G71,MDDGC3
G71,MDDGB5
D81,SCIDX1
D69,BDPLT2
Q87,SOTOS1
K11,Ranula
E79,MRXS18
F71,MRXS13
Q87,MRXSCH
D47,THCYT1
Q87,MRSHSS
A25,Sodoku
L94,Ainhum
Q26,TAPVR1
E72,SSADHD
G11,ARSACS
E76,MPSIII
Q77,SADDAN
H02,ptosis
D17,LIPOMA
H52,myopia
F40,phobia
D64,anemia
C80,cancer
B08,cowpox
icd,autism
F84,autism
K11,ranula
A25,Sodoku
L94,ainhum
D55,favism
E76,VI MPS
E76,IV MPS
C92,M3 AML
C92,M3 FAB
B37,ciconia
E31,2 A hominum
D44,2 A hominum
F50,mole 0
E31,homines 2B
D44,homines 2B
G11,V HSMN
K02,† carie
E54,"jugem scabiem,"
E04,tumidum guttur
E75,S-PLO
E76,MPS EST
Q04,VI Ofds
G60,IV HMSN
E83,IX ED
Q79,HT-ED
D48,I COCA
G11,III opca
H50,STRABUS
K21,refluxus
G60,V HMSN
Q87,V Ofds
D69,"Alleluia, VWD"
Q87,IX Ofds
Q87,I Mopd
C94,M7 AML
C94,"M7, Fab"
E20,php 1 A
G60,2C CMT
G60,VII hsan
G60,1e HSN
G60,2i CMT
G60,2I CMT
G60,2B CMT
G60,2F CMT
G60,2D CMT
D47,U-ALPIS
G60,1d CMT
Q87,IV Ofds
Q81,"GLORIA Mv,"
Q81,GLORIA Og
Q81,"GLORIA MD,"
Q81,"MD interretialem EbS habent,"
E76,IX MPS
E70,S2-OA
Q81,"Jen, nH"
E77,A Roma III
E77,Roma III
B00,Herpesvirus hominis
Q87,II Mopd
Q87,III Ofds
E77,lv Cdg
Q04,IV CPD
L28,lichenas
G12,IV SMA
G12,"II, SMA"
G60,1C CMT
G70,CMS lc
E74,XV GSD
E75,III DG
G60,II LEGO
Q82,Xpb / c
E76,II MPS
G04,I-HTLV
J36,ANGINA
D81,X SCID
G90,III hsan
Q87,III Acps
A20,plaga
A75,Bacillus subtilis subsp
E54,"jugem scabiem,"
E04,GUTTER
J45,suspiriosis
A82,¶ rabies
N19,URAEMIA
B05,RUBEOLA
H20,Uveitis
Q87,Aarskog
C88,MALToma
A07,Giardia
J86,empyema
I83,varices
B49,mycoses
B49,mycosis
B35,mycoses
B35,mycosis
B08,roseola
H10,pinkeye
D47,"CMPD, U"
G12,ALS-PDC
K52,ileitis
E74,GSD ixd
D69,BDPLT19
D69,BDPLT17
D69,BDPLT18
D69,BDPLT11
G11,VLDLRCH
G60,HMSN2A1
G60,HMSN2A2
G71,MTDPS11
G31,MTDPS8A
E88,MTDPS13
G60,ARCMT2B
Q12,CTRCT45
E26,BARTS4A
E26,BARTS4B
Q12,CTRCT32
Q12,CTRCT34
A00,CÃ²lera
G60,ARCMT2K
Q12,CTRCT25
Q12,CTRCT10
Q12,CTRCT43
Q12,CTRCT21
Q12,CTRCT24
Q12,CTRCT35
Q12,CTRCT19
Q12,CTRCT44
Q12,CTRCT22
Q12,CTRCT33
Q12,CTRCT17
Q12,CTRCT23
E71,MEGCANN
Q12,CTRCT29
Q12,CTRCT27
Q12,CTRCT18
Q12,CTRCT39
Q12,CTRCT42
Q12,CTRCT41
Q12,CTRCT13
Q12,CTRCT12
Q12,CTRCT20
Q12,CTRCT38
Q12,CTRCT26
Q12,CTRCT46
Q12,CTRCT15
Q12,CTRCT30
Q12,CTRCT37
Q12,CTRCT14
B03,variola
J00,colders
G71,MDDGC14
Q12,CTRCT31
Q12,CTRCT11
Q12,CTRCT16
Q12,CTRCT40
Q87,MRXSBFL
Q93,CATCH22
G11,SPARCA1
D69,BDPLT16
H90,DFNB101
H90,DFNB102
H90,DFNB104
H90,DFNB105
H90,DFNB103
H90,DFNB18A
H90,DFNB18B
H53,scotoma
E71,ACADVLD
D53,RH-MGA1
H90,DFNB84A
H90,DFNB84B
F45,bruxism
G47,bruxism
A35,lockjaw
A34,lockjaw
A33,lockjaw
E13,DIDMOAD
N19,URAEMIA
K09,Dermoid
T78,allergy
Q85,epiloia
Q66,talipes
G40,ICEGTCS
A48,gas bac
B07,verruca
H20,Uveitis
B87,myiasis
B06,rubella
R48,agnosia
C49,sARCOMA
K52,ileitis
E55,rickets
L71,rosacea
A00,cholera
F04,aMNESIA
R41,aMNESIA
F01,CADASIL
H53,scotoma
F45,bruxism
G47,bruxism
A30,leprosy
A35,tETANUS
A34,tETANUS
A33,tETANUS
B74,loiasis
F50,bulimia
K52,COLITIS
R47,aPHASIA
F80,balbutire
A01,typhoidearun
L89,décubitus
C49,ATT / RHT
E31,hOMINES IIB
D44,hOMINES IIB
F41,anxietatem
M10,podagrae praesidio sunt
G60,AR CMT1
L94,morphe
G60,IV HSMN
G12,"III, SMA"
L65,CALVITIUM
Q79,III ED
R48,auferimus
B88,hirudines
Q87,X Ofds
A15,TB pulmonem
E85,amyloideae
E74,GSD IXh-
Q87,XI Ofds
D07,ACUS III
G60,2C Hmsn
D06,III CIN
E74,iib GSD
Q82,UP / MPCM
D47,UP / MPCM
E27,Cicero
D64,anemia
G60,2B1 CMT
G60,1d Hmsn
G60,id HMSN
G60,R. L-CMTB
G60,R. L-CMTA
G60,D-CMTA
E66,absque oleo
N18,aegrotatio
Q87,II MOPD
G60,4B2 CMT
G60,4B1 CMT
G60,D-CMTB
G60,D-CMTC
G60,D-CMTD
G60,R. L-CMTC
G60,"Zibeon, Anah, NM"
Q81,L-GLORIA
G60,Is HMSN
Q87,"PMG BLC,"
G11,"HS.P. TCC,"
E23,Is IGHD
G24,"Dyt SPR,"
H04,Quod oculus sicco
G60,1C Hmsn
G60,IC HMSN
E77,II Cdg
E77,Thomas PAR-
E72,II-D-HGA
E07,P. Cornelius Tacitus
E23,II IGHD
E23,IGHD IA Omnium
G04,COLEPIUM / TSP
E76,VII MPS
D81,"SCID x1,"
E76,III MPS
B05,rubellam
A22,CARBO
A78,Q febricitantem
B86,Distat
B54,MEPHITIS
E66,dolore magna aliqua
D69,purpurae
N18,morbus
A66,thymosis
B05,MORBILLI
L20,Allergic
H20,uveaitis
B75,Triquina
A05,Botulism
K05,Pyorrhea
M62,myopathy
M60,myopathy
G72,myopathy
O00,eccyesis
K56,vOLVULUS
L04,ADENITIS
I88,ADENITIS
E34,Progeria
H04,epiphora
C85,lymphoma
K14,Orodynia
E52,pellagra
H00,Chalazia
C92,Chloroma
E55,rachitis
F01,CADASIL2
E74,GSD Ixa2
J62,talcosis
F04,amnesiac
R41,amnesiac
G60,HMSN IIB
K62,anusitis
K62,rectitis
F48,neurosis
F34,neurosis
G24,GLUT1DS2
C95,leukemia
B08,vaccinia
C76,chordoma
C22,Hepatoma
Q78,Maffucci
I80,veinitis
K11,Sialitis
